month,tilt_angle,system_loss,capacity_kw,power_output_w,solar_radiation_kwh_m2_day
1,10,8,1,136.3670786,5.605685969
2,10,8,1,131.6259077,6.059446591
3,10,8,1,161.0299258,6.897068008
4,10,8,1,163.8196851,7.350781312
5,10,8,1,167.1981732,7.158731589
6,10,8,1,137.7927832,5.924742535
7,10,8,1,135.6762539,5.48626247
8,10,8,1,133.3428236,5.360263154
9,10,8,1,131.9789224,5.548301359
10,10,8,1,142.3262136,5.904785281
11,10,8,1,133.0141515,5.560647177
12,10,8,1,130.6991726,5.24881711
1,10,8,2,272.7341572,5.605685969
2,10,8,2,263.2518154,6.059446591
3,10,8,2,322.0598515,6.897068008
4,10,8,2,327.6393701,7.350781312
5,10,8,2,334.3963465,7.158731589
6,10,8,2,275.5855664,5.924742535
7,10,8,2,271.3525078,5.48626247
8,10,8,2,266.6856472,5.360263154
9,10,8,2,263.9578449,5.548301359
10,10,8,2,284.6524271,5.904785281
11,10,8,2,266.028303,5.560647177
12,10,8,2,261.3983453,5.24881711
1,10,8,3,409.1012358,5.605685969
2,10,8,3,394.8777231,6.059446591
3,10,8,3,483.0897773,6.897068008
4,10,8,3,491.4590552,7.350781312
5,10,8,3,501.5945197,7.158731589
6,10,8,3,413.3783496,5.924742535
7,10,8,3,407.0287617,5.48626247
8,10,8,3,400.0284707,5.360263154
9,10,8,3,395.9367673,5.548301359
10,10,8,3,426.9786407,5.904785281
11,10,8,3,399.0424545,5.560647177
12,10,8,3,392.0975179,5.24881711
1,10,10,1,133.3747458,5.605685969
2,10,10,1,128.737764,6.059446591
3,10,10,1,157.497222,6.897068008
4,10,10,1,160.2273684,7.350781312
5,10,10,1,163.5300847,7.158731589
6,10,10,1,134.7640564,5.924742535
7,10,10,1,132.6929937,5.48626247
8,10,10,1,130.4120134,5.360263154
9,10,10,1,129.0787962,5.548301359
10,10,10,1,139.2021802,5.904785281
11,10,10,1,130.0941053,5.560647177
12,10,10,1,127.8301413,5.24881711
1,10,10,2,266.7494915,5.605685969
2,10,10,2,257.4755279,6.059446591
3,10,10,2,314.9944441,6.897068008
4,10,10,2,320.4547367,7.350781312
5,10,10,2,327.0601694,7.158731589
6,10,10,2,269.5281128,5.924742535
7,10,10,2,265.3859874,5.48626247
8,10,10,2,260.8240268,5.360263154
9,10,10,2,258.1575925,5.548301359
10,10,10,2,278.4043605,5.904785281
11,10,10,2,260.1882105,5.560647177
12,10,10,2,255.6602827,5.24881711
1,10,10,3,400.1242373,5.605685969
2,10,10,3,386.2132919,6.059446591
3,10,10,3,472.4916661,6.897068008
4,10,10,3,480.6821051,7.350781312
5,10,10,3,490.5902541,7.158731589
6,10,10,3,404.2921692,5.924742535
7,10,10,3,398.078981,5.48626247
8,10,10,3,391.2360402,5.360263154
9,10,10,3,387.2363887,5.548301359
10,10,10,3,417.6065407,5.904785281
11,10,10,3,390.2823158,5.560647177
12,10,10,3,383.490424,5.24881711
1,10,12,1,130.382413,5.605685969
2,10,12,1,125.8496202,6.059446591
3,10,12,1,153.9645183,6.897068008
4,10,12,1,156.6350517,7.350781312
5,10,12,1,159.8619962,7.158731589
6,10,12,1,131.7355365,5.924742535
7,10,12,1,129.7097335,5.48626247
8,10,12,1,127.4812032,5.360263154
9,10,12,1,126.17867,5.548301359
10,10,12,1,136.0781469,5.904785281
11,10,12,1,127.174059,5.560647177
12,10,12,1,124.96111,5.24881711
1,10,12,2,260.7648259,5.605685969
2,10,12,2,251.6992404,6.059446591
3,10,12,2,307.9290366,6.897068008
4,10,12,2,313.2701034,7.350781312
5,10,12,2,319.7239924,7.158731589
6,10,12,2,263.4710729,5.924742535
7,10,12,2,259.4194669,5.48626247
8,10,12,2,254.9624064,5.360263154
9,10,12,2,252.3573401,5.548301359
10,10,12,2,272.1562938,5.904785281
11,10,12,2,254.348118,5.560647177
12,10,12,2,249.9222201,5.24881711
1,10,12,3,391.1472389,5.605685969
2,10,12,3,377.5488607,6.059446591
3,10,12,3,461.893555,6.897068008
4,10,12,3,469.905155,7.350781312
5,10,12,3,479.5859886,7.158731589
6,10,12,3,395.2066094,5.924742535
7,10,12,3,389.1292004,5.48626247
8,10,12,3,382.4436096,5.360263154
9,10,12,3,378.5360101,5.548301359
10,10,12,3,408.2344407,5.904785281
11,10,12,3,381.5221771,5.560647177
12,10,12,3,374.8833301,5.24881711
1,10,14,1,127.3900802,5.605685969
2,10,14,1,122.9614765,6.059446591
3,10,14,1,150.4318146,6.897068008
4,10,14,1,153.042735,7.350781312
5,10,14,1,156.1939077,7.158731589
6,10,14,1,128.7072938,5.924742535
7,10,14,1,126.7264732,5.48626247
8,10,14,1,124.550393,5.360263154
9,10,14,1,123.2785438,5.548301359
10,10,14,1,132.9541136,5.904785281
11,10,14,1,124.2540128,5.560647177
12,10,14,1,122.0920787,5.24881711
1,10,14,2,254.7801603,5.605685969
2,10,14,2,245.922953,6.059446591
3,10,14,2,300.8636292,6.897068008
4,10,14,2,306.08547,7.350781312
5,10,14,2,312.3878153,7.158731589
6,10,14,2,257.4145877,5.924742535
7,10,14,2,253.4529465,5.48626247
8,10,14,2,249.100786,5.360263154
9,10,14,2,246.5570877,5.548301359
10,10,14,2,265.9082271,5.904785281
11,10,14,2,248.5080256,5.560647177
12,10,14,2,244.1841575,5.24881711
1,10,14,3,382.1702405,5.605685969
2,10,14,3,368.8844294,6.059446591
3,10,14,3,451.2954438,6.897068008
4,10,14,3,459.128205,7.350781312
5,10,14,3,468.581723,7.158731589
6,10,14,3,386.1218815,5.924742535
7,10,14,3,380.1794197,5.48626247
8,10,14,3,373.651179,5.360263154
9,10,14,3,369.8356315,5.548301359
10,10,14,3,398.8623407,5.904785281
11,10,14,3,372.7620383,5.560647177
12,10,14,3,366.2762362,5.24881711
1,10,16,1,124.3977473,5.605685969
2,10,16,1,120.073383,6.059446591
3,10,16,1,146.8991109,6.897068008
4,10,16,1,149.4504183,7.350781312
5,10,16,1,152.5261118,7.158731589
6,10,16,1,125.6792693,5.924742535
7,10,16,1,123.7433792,5.48626247
8,10,16,1,121.6195828,5.360263154
9,10,16,1,120.3784177,5.548301359
10,10,16,1,129.8300802,5.904785281
11,10,16,1,121.3339665,5.560647177
12,10,16,1,119.2230474,5.24881711
1,10,16,2,248.7954947,5.605685969
2,10,16,2,240.1467661,6.059446591
3,10,16,2,293.7982218,6.897068008
4,10,16,2,298.9008366,7.350781312
5,10,16,2,305.0522237,7.158731589
6,10,16,2,251.3585386,5.924742535
7,10,16,2,247.4867583,5.48626247
8,10,16,2,243.2391656,5.360263154
9,10,16,2,240.7568353,5.548301359
10,10,16,2,259.6601605,5.904785281
11,10,16,2,242.6679331,5.560647177
12,10,16,2,238.4460949,5.24881711
1,10,16,3,373.193242,5.605685969
2,10,16,3,360.2201491,6.059446591
3,10,16,3,440.6973326,6.897068008
4,10,16,3,448.3512549,7.350781312
5,10,16,3,457.5783355,7.158731589
6,10,16,3,377.0378078,5.924742535
7,10,16,3,371.2301375,5.48626247
8,10,16,3,364.8587484,5.360263154
9,10,16,3,361.135253,5.548301359
10,10,16,3,389.4902407,5.904785281
11,10,16,3,364.0018996,5.560647177
12,10,16,3,357.6691423,5.24881711
1,10,18,1,121.4054145,5.605685969
2,10,18,1,117.1853325,6.059446591
3,10,18,1,143.3664072,6.897068008
4,10,18,1,145.8581016,7.350781312
5,10,18,1,148.8583938,7.158731589
6,10,18,1,122.651328,5.924742535
7,10,18,1,120.7603981,5.48626247
8,10,18,1,118.6887726,5.360263154
9,10,18,1,117.4782915,5.548301359
10,10,18,1,126.7061225,5.904785281
11,10,18,1,118.4139203,5.560647177
12,10,18,1,116.3540177,5.24881711
1,10,18,2,242.8108291,5.605685969
2,10,18,2,234.3706649,6.059446591
3,10,18,2,286.7328143,6.897068008
4,10,18,2,291.7162032,7.350781312
5,10,18,2,297.7167877,7.158731589
6,10,18,2,245.3026561,5.924742535
7,10,18,2,241.5207962,5.48626247
8,10,18,2,237.3775452,5.360263154
9,10,18,2,234.9565829,5.548301359
10,10,18,2,253.4122451,5.904785281
11,10,18,2,236.8278406,5.560647177
12,10,18,2,232.7080355,5.24881711
1,10,18,3,364.2162436,5.605685969
2,10,18,3,351.5559974,6.059446591
3,10,18,3,430.0992215,6.897068008
4,10,18,3,437.5743049,7.350781312
5,10,18,3,446.5751815,7.158731589
6,10,18,3,367.9539841,5.924742535
7,10,18,3,362.2811943,5.48626247
8,10,18,3,356.0663179,5.360263154
9,10,18,3,352.4348744,5.548301359
10,10,18,3,380.1183676,5.904785281
11,10,18,3,355.2417609,5.560647177
12,10,18,3,349.0620532,5.24881711
1,15,8,1,143.5630508,5.909868089
2,15,8,1,136.4832835,6.291763307
3,15,8,1,163.6893519,7.019221555
4,15,8,1,163.3120702,7.332269724
5,15,8,1,164.2982701,7.036781051
6,15,8,1,135.0170048,5.803166651
7,15,8,1,133.4304079,5.392150846
8,15,8,1,132.2681216,5.314003881
9,15,8,1,132.8260418,5.582813045
10,15,8,1,146.1899965,6.072510505
11,15,8,1,139.1827853,5.825238295
12,15,8,1,138.1901009,5.553074011
1,15,8,2,287.1261015,5.909868089
2,15,8,2,272.966567,6.291763307
3,15,8,2,327.3787038,7.019221555
4,15,8,2,326.6241403,7.332269724
5,15,8,2,328.5965403,7.036781051
6,15,8,2,270.0340096,5.803166651
7,15,8,2,266.8608157,5.392150846
8,15,8,2,264.5362432,5.314003881
9,15,8,2,265.6520837,5.582813045
10,15,8,2,292.3799929,6.072510505
11,15,8,2,278.3655706,5.825238295
12,15,8,2,276.3802018,5.553074011
1,15,8,3,430.6891523,5.909868089
2,15,8,3,409.4498505,6.291763307
3,15,8,3,491.0680557,7.019221555
4,15,8,3,489.9362105,7.332269724
5,15,8,3,492.8948104,7.036781051
6,15,8,3,405.0510145,5.803166651
7,15,8,3,400.2912236,5.392150846
8,15,8,3,396.8043647,5.314003881
9,15,8,3,398.4781255,5.582813045
10,15,8,3,438.5699894,6.072510505
11,15,8,3,417.5483559,5.825238295
12,15,8,3,414.5703026,5.553074011
1,15,10,1,140.4141976,5.909868089
2,15,10,1,133.4895446,6.291763307
3,15,10,1,160.0988346,7.019221555
4,15,10,1,159.7307886,7.332269724
5,15,10,1,160.693223,7.036781051
6,15,10,1,132.0487341,5.803166651
7,15,10,1,130.4959704,5.392150846
8,15,10,1,129.3606745,5.314003881
